"GDP per capita (US$)","Unemployment as a share of the labour force","Population density (persons per km2)","Green area per million people (square meters per million person)","CO2 emissions per capita (tonnes per inhabitant)","Estimated average exposure to air pollution (PM2.5) based on imagery data","Concentration of population in the core (%)","Urbanised area share (%)","Population of the metropolitan area as a share of national value (%)","Territorial fragmentation","GDP of the metropolitan area as share of national value (%)",City
42823.59,5.36,395.83,46.47,9.43,3.02,87.35,12.37,20.61,5.76,19.96,Sydney
39358.19,5.99,439.49,34.27,10.22,5.01,86.44,14.65,18.9,6.33,16.76,Melbourne
47307.24,7.03,307.23,221.99,14.23,17.43,64.06,10.58,32.84,11.2,35.63,Vienna
52807,11.8,792.51,285.32,9.48,19.03,45.11,31.06,23.1,3.83,30.97,Brussels
34545.83,8.2,400.85,712.34,13.02,7.17,75.97,8.88,12.36,4.35,10.28,Montreal
40500.92,7.88,482.02,1297.8,14.82,9.41,87.36,11.03,19.55,0.72,18.91,Toronto
26321.75,6.43,1465.62,17.48,3.42,7.82,93.73,15.51,37.48,0.7,48.14,Santiago
37700.85,8.78,712.32,206,12.1,17.27,78.82,19.98,5.45,6.27,4.92,Berlin
52748.56,4.33,522.35,914.18,8.98,14.02,57.15,15.52,3.73,10.24,4.7,Hamburg
63591.71,3.04,473.55,539.85,8.48,15.07,48.55,11.25,3.67,7.15,5.49,Munich
56827.88,4.53,651.56,100.16,13.05,15.26,35.18,16.02,3.14,4.3,4.27,Frankfurt
41553.58,19.02,613.57,24.23,7.14,10.86,74.36,8.53,15.22,3.84,19.21,Madrid
36125.16,19.98,2824.24,2.29,5.74,11.12,75.6,30.49,8.27,1.95,9.26,Barcelona
59611.07,9.73,995.74,88.93,7.91,14.15,79.18,19.99,18.83,11.42,30.75,Paris
33292.64,27.34,2134.51,0.97,5.13,14.02,76.82,26.32,32.42,2.66,44.69,Athens
35963.7,6.19,475.43,412.23,9.45,19.37,58.79,15.67,29.15,6.36,47.78,Budapest
46580.67,11.43,729.69,224.78,9.11,10.46,63.59,11.78,6.83,3.54,9.44,Rome
57074.17,8.19,1577.03,22.4,7.43,28.36,74.54,28.09,6.84,6.06,11.65,Milan
21805.57,23.74,2292.44,12.92,6.59,15.7,86.98,23.34,5.88,3.25,3.86,Naples
41635.91,3.55,4181.17,4.56,6.8,18.06,93.66,48.42,28.27,0.65,32.02,Tokyo
39643.42,2.6,1648.41,7.46,8.72,16.09,82.96,31.27,5.11,1.25,5.55,Nagoya
34516.87,4.1,2476.32,10.9,7.06,13.06,91.61,31.2,13.65,0.92,12.96,Osaka
32413.24,4.54,2253.39,6.44,5.46,14.7,80.96,32.98,2.05,1.12,1.8,Fukuoka
31403.39,3.99,5338.72,5.34,5.72,27.28,88.8,30.14,49.48,3.87,46.26,Seoul Incheon
22379.61,3.76,2452.84,32.38,5.38,20.59,94.01,21.36,5.42,5.68,3.68,Daegu
23938.26,3.79,4736.62,9.13,3.68,16.38,94.08,40.93,6.81,6.35,5,Busan
25327.27,5.61,439.12,41.65,4.42,9.73,78.11,4.03,4.03,0.41,6.43,Monterrey
14882.17,5.01,1979.15,109.05,2.42,13.36,82.24,15.21,4.1,0.14,3.89,Guadalajara
20960.28,6.7,3999.52,26.37,3.42,15.24,94.74,24.97,17.04,0.27,23.12,Mexico City
46012.72,7.19,352.76,1022.32,8.33,16.76,56.62,8.63,7.99,3.32,16.45,Warsaw
24837.04,8.61,660.49,337.07,14.02,22.06,56.16,19.13,6.81,2.32,7.7,Katowice
34480.37,14.77,723.78,63.58,5.1,7.83,83.71,14.11,27.68,8.14,37.4,Lisbon
54382.76,6.48,1791.85,35.16,7.87,10.26,80.17,34.99,19.28,0.38,28.39,London
58820.61,6.37,939.72,372.98,17.18,11.46,100,48.63,1.28,4.97,1.51,Philadelphia
63173.15,4.83,125.37,4.64,14.85,5.62,97.94,8.71,0.86,1.43,1.07,Denver
74299.15,5.02,362.67,973.99,12.99,12.13,86,18.81,1.89,1.51,2.78,Washington
51138.06,6.28,200.76,1825.18,21.45,10.87,65.03,20.5,0.82,9.58,0.84,Saint Louis (US)
62472.05,3.88,166.23,2812.62,19.44,11.22,91.13,14.14,1.1,9.41,1.37,Minneapolis
83504.18,5.5,408.98,23.22,13.87,4.84,69.76,21.35,2.19,1.33,3.67,San Francisco
51538.49,7.72,211.74,5.09,15.3,8.71,100,10.06,5.56,0.95,5.72,Los Angeles
57749.89,6.8,486.13,98.04,10.67,10.05,35.04,38.77,1.49,1.41,1.7,Atlanta
47378.51,5.87,174.28,9.23,13.38,6.63,100,11.17,1.31,0.58,1.22,Phoenix
69900.67,4.97,376.81,196.9,13.65,8.02,91.48,25.13,1.43,2.57,1.96,Dallas
58920.04,6.42,291.57,10.35,12.57,7.41,100,18.41,1.01,0.56,1.19,San Diego
77110.91,4.89,289.9,591.59,22.47,6.11,89.26,21.47,2.04,1.67,3.1,Houston
46402.71,6.28,409.46,140.9,14.47,6.1,100,21.35,1.82,1.67,1.69,Miami
86730.27,4.74,248.47,99.13,11.32,3.65,100,18.03,0.87,2.05,1.51,Seattle
52903.35,8.49,724.8,551.67,16.89,10.9,100,59.92,1.19,3.45,1.28,Detroit
84731.98,5.12,762.8,86.06,15.39,7.46,100,44.07,1.16,3.26,1.97,Boston
58288.38,7.05,510.56,411.29,18.47,11.32,96.53,33.33,3.03,5.59,3.54,Chicago
73326.6,6.54,1691.35,39.39,17.71,12.03,97.47,52.53,5.24,2.13,7.73,New York
